level_0,index,id,classification_predictions,regression_predictions,isHigh,isLow,energy_1vs3,energy_6vs10,energy_20vs30,prob
14302,302,9d6f90d7a85451c38ea0504070bbafba6d7de474,0.0,3.0,0.0008005798,0.24553466,[0.         0.69868433 0.03520357 0.        ],[0.         0.0015034  0.00024244 0.        ],[0.         0.14517087 0.108867   0.        ],0.0
1605,605,60d43107c6d9345cdd1d307a467f7bb1c5db9d32,0.0,3.0,0.0,1.0,[0.        0.7361331 0.0742303 0.       ],[0.         0.00079053 0.00012516 0.        ],[0.         0.14325511 0.12440127 0.        ],0.0
10901,901,7564796848259947d135d014b9c5d86703d5aec7,0.0,3.0,0.0011393726,0.8396474,[0.         0.7623904  0.10113019 0.        ],[0.         0.00071925 0.00011839 0.        ],[0.         0.14689554 0.1318796  0.        ],0.0
15028,28,3ba5accb4fd9b0001065cf523611a9fb01792db6,0.0,3.0,0.0012944043,0.06592387,[0.        0.6919573 0.0309177 0.       ],[0.         0.00143116 0.00021924 0.        ],[0.         0.1438913  0.10529426 0.        ],0.0
9168,168,2dd4a3d899bdd4abe0ceb97b93595012d4ef601e,0.0,3.0,0.0024971962,0.2630148,[0.         0.71263355 0.05378047 0.        ],[0.         0.00083609 0.00013209 0.        ],[0.         0.14160709 0.112761   0.        ],0.0
14152,152,5fc136e193e45cbbbda19d91bec45e4c7a279f56,0.0,3.0,0.0023427606,0.6227257,[0.         0.68201    0.03716356 0.        ],[0.         0.00108109 0.00018014 0.        ],[0.         0.14061569 0.10677975 0.        ],0.0
8065,65,85752e6020915e848525df0a71be444b2bf45199,0.0,3.0,0.0011599362,0.25690126,[0.         0.6762972  0.04412616 0.        ],[0.         0.00150947 0.00027328 0.        ],[0.         0.14962934 0.10334173 0.        ],0.0
15471,471,9f9aafe4629562264ca867abad9e575832a9a500,0.0,3.0,0.0055971146,0.06257805,[0.         0.68118685 0.05794257 0.        ],[0.         0.00139995 0.00022137 0.        ],[0.         0.146653   0.10772114 0.        ],0.0
12267,267,44d38e4f4d07491a247a54b78b1b5abd6c2b497c,0.0,3.0,0.0010355413,0.7880413,[0.         0.6575078  0.03533271 0.        ],[0.         0.00162977 0.00027093 0.        ],[0.         0.1432527  0.10080828 0.        ],0.0
8190,190,14e9f93e45aef2c3232aa1eb365583e5e8fb42c6,0.0,3.0,0.0021174848,0.63369477,[0.         0.6883905  0.07540985 0.        ],[0.         0.00068966 0.00010923 0.        ],[0.         0.14099531 0.11861618 0.        ],0.0
6183,183,9f847fe7eced1083c8af1604cf9b55af1d28d712,0.0,3.0,0.0025400221,0.12561038,[0.         0.6728954  0.06065481 0.        ],[0.         0.00117015 0.00018845 0.        ],[0.         0.14310925 0.1099952  0.        ],0.0
9883,883,bdba075591e6696dcffe34e4737a43c7545e4dd1,0.0,3.0,0.0035695732,0.28434205,[0.         0.67900145 0.09072998 0.        ],[0.         0.00065287 0.00010749 0.        ],[0.         0.14884895 0.12765789 0.        ],0.0
5259,259,320582048470a91f371540e046c69fca3b2ab18d,0.0,3.0,0.0028647482,0.4972125,[0.         0.6676004  0.07940397 0.        ],[0.         0.00068302 0.00014051 0.        ],[0.         0.15452908 0.11901221 0.        ],0.0
8337,337,e96000243df9ad3166abb8490789ac1ee01f1781,0.0,3.0,0.0013603568,0.3339213,[0.         0.6398596  0.05350341 0.        ],[0.         0.00127761 0.00024361 0.        ],[0.         0.15303174 0.10541765 0.        ],0.0
12264,264,888a7fe1e5094d56768a499318dd894b56bc5fa8,0.0,3.0,0.002133876,0.6402582,[0.         0.6545068  0.07293496 0.        ],[0.         0.00072499 0.00013939 0.        ],[0.         0.1483547  0.12384161 0.        ],0.0
10689,689,ccf89a4b18c4b38b886879e928d01b2864921071,0.0,3.0,0.0017049611,0.44157565,[0.        0.6334743 0.0524235 0.       ],[0.         0.00114783 0.00018286 0.        ],[0.         0.14487253 0.09922738 0.        ],0.0
16359,359,e41acb2fd42786ecab3f901a4b3e726aba131fda,0.0,3.0,0.0046927035,0.9232193,[0.         0.6509115  0.07185833 0.        ],[0.000000e+00 6.303640e-04 9.469469e-05 0.000000e+00],[0.         0.14121006 0.13016011 0.        ],0.0
13718,718,759438dc75ed01abdcf82c7a38aa9e5154beb34e,0.0,3.0,0.0022521615,0.35505122,[0.         0.6789557  0.10081442 0.        ],[0.         0.00099392 0.0001571  0.        ],[0.         0.14471634 0.11289446 0.        ],0.0
13885,885,c73d300c8c2d13df81b1e11d4d916e727f7d2b4c,0.0,3.0,0.0017367005,0.959782,[0.         0.68210346 0.10801003 0.        ],[0.         0.000595   0.00010684 0.        ],[0.         0.14256604 0.12801132 0.        ],0.0
8160,160,f967d89067c1b7ad08ed2426c17bb84a0debcb83,0.0,3.0,0.0011570454,0.8816822,[0.         0.640913   0.07507984 0.        ],[0.         0.00101943 0.00018115 0.        ],[0.         0.15036263 0.11848973 0.        ],0.0
10331,331,8346d2d2d1165607175048e0bee6bf4a1542045a,0.0,3.0,0.0039354265,0.5469847,[0.         0.6406895  0.07503161 0.        ],[0.         0.00087905 0.00017121 0.        ],[0.         0.15123826 0.11030041 0.        ],0.0
6315,315,3ba0faaa47c5af354e4c828ecbad8fcbb9629b8b,0.0,3.0,0.0020388663,0.33405364,[0.         0.63741136 0.07393699 0.        ],[0.         0.00091312 0.00013559 0.        ],[0.         0.14561409 0.11679908 0.        ],0.0
673,673,945926eb77ca82fe61f0092900035cfa40ea7ef0,0.0,3.0,0.0,1.0,[0.         0.6399675  0.07892393 0.        ],[0.         0.00090031 0.00015329 0.        ],[0.         0.14447595 0.12225143 0.        ],0.0
8219,219,577ca2d254bd831fcdcae71ff9e771bf208f6b6a,0.0,3.0,0.0015408397,0.5121514,[0.        0.6378226 0.0784184 0.       ],[0.         0.00112733 0.00021872 0.        ],[0.         0.14658472 0.1117027  0.        ],0.0
15853,853,87360fef13fd36f0d24c4da9a378f9cd7f6b174f,0.0,3.0,0.0034230053,0.5827072,[0.         0.6733907  0.11519175 0.        ],[0.         0.00063399 0.00012133 0.        ],[0.         0.14985177 0.12454022 0.        ],0.0
5175,175,f5c6c76b776ca27f1fdd4433b292034311754426,0.0,3.0,0.0007888377,0.4858433,[0.         0.6361013  0.07914723 0.        ],[0.         0.0010079  0.00016254 0.        ],[0.         0.14939648 0.11099816 0.        ],0.0
10762,762,3b451c1ed606a1536bf330cdec1d3bda624bf9f6,0.0,3.0,0.0012715459,0.37233356,[0.         0.61074114 0.05547844 0.        ],[0.         0.00130502 0.00025426 0.        ],[0.         0.15336181 0.10554552 0.        ],0.0
4810,810,c85a2ae3e562e48050d01974accbe85700bdc361,0.0,3.0,0.0024557412,0.32649273,[0.         0.64339733 0.09207857 0.        ],[0.         0.00084181 0.00015658 0.        ],[0.         0.14751625 0.11501154 0.        ],0.0
10375,375,040409e677a7a97b8c847c209c85680138566b07,0.0,3.0,0.003906667,0.17186064,[0.         0.58150244 0.03535337 0.        ],[0.         0.0016638  0.00036673 0.        ],[0.         0.15445504 0.10088675 0.        ],0.0
1258,258,ec027d0e8d8710844b61641807801569068a0b45,0.0,3.0,0.0,1.0,[0.         0.6404724  0.09454379 0.        ],[0.         0.0009428  0.00016328 0.        ],[0.         0.14761594 0.11899364 0.        ],0.0
7036,36,db7be139fbd687b5dfeef572b63ee7f689af590d,0.0,3.0,0.005035639,0.087222666,[0.         0.60810655 0.0628796  0.        ],[0.         0.00084574 0.00013671 0.        ],[0.         0.14323984 0.10583701 0.        ],0.0
10345,345,be05988aac95c43e3ac39c559c998daf7930a41f,0.0,3.0,0.0009836257,0.917125,[0.         0.6361621  0.09356347 0.        ],[0.         0.00082634 0.00016057 0.        ],[0.         0.14897765 0.11425691 0.        ],0.0
7526,526,ce05e03eeb57c99b30221870252292330fb991c4,0.0,3.0,0.001445055,0.5973139,[0.         0.5928479  0.05107543 0.        ],[0.         0.00099634 0.00019068 0.        ],[0.         0.1490142  0.11179578 0.        ],0.0
11695,695,a02369cfe72d8352ca086ca328d00543ae52179f,0.0,3.0,0.0010376573,0.8759197,[0.         0.59305227 0.05219055 0.        ],[0.         0.00140164 0.00025728 0.        ],[0.         0.1553191  0.10716888 0.        ],0.0
9029,29,2f44f70b211259969747781b6655912116af7554,0.0,3.0,0.0013337731,0.4811496,[0.         0.6338658  0.09659273 0.        ],[0.         0.001238   0.00019264 0.        ],[0.         0.14291291 0.12225601 0.        ],0.0
10702,702,e14707ee9a120dc6b819467a87f0db9ccb6cc396,0.0,3.0,0.0048334897,0.1565778,[0.         0.6439519  0.10671075 0.        ],[0.         0.00095864 0.00014511 0.        ],[0.         0.14622125 0.12117901 0.        ],0.0
16122,122,4bb0b8956fd6ff9bb60bcb1301bdef98cdd366ca,0.0,3.0,0.001216054,0.67190266,[0.         0.5938543  0.05693112 0.        ],[0.         0.001003   0.00019558 0.        ],[0.         0.14862013 0.1128675  0.        ],0.0
9361,361,88cbfab8b8c6048429d454d122f2479defd260df,0.0,3.0,0.0024988055,0.7420801,[0.         0.6013284  0.06473567 0.        ],[0.         0.00069292 0.0001071  0.        ],[0.         0.13904181 0.12028398 0.        ],0.0
5443,443,48a3e88b97a850facad56f892d81fb48eaf6bce2,0.0,3.0,0.001188606,0.8862468,[0.         0.62085307 0.08514202 0.        ],[0.         0.00086952 0.00017035 0.        ],[0.         0.14970315 0.11282293 0.        ],0.0
16871,871,35b6e66c742e6df299879c4175ad457f56c6d472,0.0,3.0,0.00842154,0.022381783,[0.         0.6007454  0.06685126 0.        ],[0.         0.00113753 0.00016312 0.        ],[0.         0.14492995 0.09892807 0.        ],0.0
14484,484,c9b4f8a88425994b4fc9cc58089565387cc94695,0.0,3.0,0.00077426434,0.8605597,[0.         0.62822855 0.09463882 0.        ],[0.         0.00083089 0.00014306 0.        ],[0.         0.14399017 0.12367638 0.        ],0.0
10461,461,4d38a610a7348152ad9989b795e5bda309e9a075,0.0,3.0,0.001262784,0.6626713,[0.         0.6083997  0.07612506 0.        ],[0.         0.00111469 0.00022194 0.        ],[0.         0.15199453 0.10878501 0.        ],0.0
4608,608,d2a28c5110069ccfe32bbde6deff55d53fae0a50,0.0,3.0,0.0017251968,0.09355444,[0.         0.5877626  0.05582285 0.        ],[0.         0.00174685 0.00023993 0.        ],[0.         0.14554463 0.10652142 0.        ],0.0
12251,251,70947c3ec414b8d18a1b483c31372d6cb58db519,0.0,3.0,0.00093171,0.16270429,[0.         0.5569956  0.02562071 0.        ],[0.         0.00130932 0.0002979  0.        ],[0.         0.14986569 0.10734306 0.        ],0.0
12853,853,967b007ac2645fee16292c833de1337458e0823f,0.0,3.0,0.0023184419,0.1431239,[0.         0.62718624 0.09709787 0.        ],[0.         0.00100396 0.00014918 0.        ],[0.         0.14135164 0.11249469 0.        ],0.0
15301,301,8ce73f02dd1181411ffeb0a1b917d7806e86745e,0.0,3.0,0.0012070537,0.32962564,[0.         0.6018578  0.07185154 0.        ],[0.         0.00076905 0.00011241 0.        ],[0.         0.14267354 0.12144648 0.        ],0.0
8229,229,3e57a4aea25790d78e9aef5110f1dcda4d28a56d,0.0,3.0,0.0019430816,0.060824424,[0.         0.6199001  0.09036545 0.        ],[0.         0.00080748 0.0001368  0.        ],[0.         0.15070991 0.1194683  0.        ],0.0
12039,39,b9949b76dfdd19063e263c4140973ba4e2f19c1a,0.0,3.0,0.0026437342,0.4020307,[0.         0.6281275  0.10213511 0.        ],[0.         0.00095183 0.00015854 0.        ],[0.         0.15480924 0.11212716 0.        ],0.0
13254,254,ea9f5fcb45fec32e27a56e622bd7c34ce8c96a6d,0.0,3.0,0.0024626553,0.2425335,[0.         0.5863131  0.06363953 0.        ],[0.         0.00098101 0.00017015 0.        ],[0.         0.14632325 0.10698887 0.        ],0.0
16070,70,0ed4e17184cbc18a7175bfab70ea7a6e429def78,0.0,3.0,0.0020257235,0.4886989,[0.        0.5633218 0.040688  0.       ],[0.         0.001391   0.00026626 0.        ],[0.         0.14795852 0.10988542 0.        ],0.0
9564,564,0c25b2ba2fd7e251fd0317afd8aafaa7986f5635,0.0,3.0,0.0026094615,0.13178131,[0.         0.5542335  0.03622076 0.        ],[0.         0.0017498  0.00028295 0.        ],[0.         0.14669986 0.09975832 0.        ],0.0
4337,337,9ba4226ad09c47783db96d95c616f0ea840b67f9,0.0,3.0,0.0014666021,0.09010336,[0.         0.56731373 0.04962492 0.        ],[0.         0.00133053 0.00021817 0.        ],[0.         0.14928943 0.10351451 0.        ],0.0
14553,553,dd23e4c9c1fe56f592bd4c8b6faf27df1cef0903,0.0,3.0,0.0022365153,0.14857292,[0.         0.5961666  0.07860912 0.        ],[0.000000e+00 5.370218e-04 8.798799e-05 0.000000e+00],[0.         0.14446712 0.12529811 0.        ],0.0
